feature,delta_z
None,0.2110309429981396
CAR 12:0,-0.19571972860427028
CAR 14:0,-0.14657389058077008
CAR 14:1,-0.2626502373773363
CAR 16:0,-0.023069771783539944
CAR 16:1,-0.16814390440821766
CE 18:1,0.06748058366279848
CE 18:2,0.18024515060036372
CE 20:1,0.1919605068709267
CE 20:2,0.2428143436830755
CE 20:3,-0.06987648800539485
CE 20:4,-0.3181234948491387
CE 22:2,0.34639682868418775
CE 22:3,-0.010863623547948422
CE 22:4,-0.1336302601552417
CE 22:5,-0.12600264991753263
CE 22:6,0.007901403887214
CE 24:1,0.49519062721820084
None,1.0232183501050618
None,0.8789174985274466
None,0.5499047196667873
DG 16:0_16:0_0:0,0.3776228816783761
DG 18:0_16:0_0:0,0.31851589688897813
DG 18:1_16:0_0:0,0.37297790007195675
DG 18:2_16:0_0:0,0.6439400159058671
DG 20:3_16:0_0:0,0.22210605925963742
DG 20:4_16:0_0:0,-0.11225491417585397
DG 22:4_16:0_0:0,0.029138510992865956
DG 18:1_18:0_0:0,0.8551563956811407
DG 18:2_18:0_0:0,1.1011756900010055
DG 20:3_18:0_0:0,0.7208090116471468
DG 20:3_18:0_0:0,-0.1666660561477354
DG 20:4_18:0_0:0,-0.4730284983415955
DG 22:4_18:0_0:0,-0.08665382097739466
DG 18:1_18:1_0:0,0.8707645515401222
DG 18:2_18:1_0:0,0.9340208571025108
DG 26:1_18:1,-0.667864379948863
None,-0.7217822474778728
None,-0.32466231273559865
None,-0.9927063685061444
None,-0.7937499563996627
None,-0.5719792709613851
None,-0.7242634132388619
None,-0.7870368319643446
None,-0.8128398928061233
None,-0.6482737490449648
None,-0.7498864577132303
None,-0.7496768097272064
None,-0.8158549602315526
None,0.37703625769571764
LPC 14:0_0:0,0.5450290899287749
LPC 14:0_0:0,-0.22867957271202438
LPC 16:0_0:0,0.16134849869155388
LPC 16:0_0:0,-0.699396877484205
LPC 18:0_0:0,0.06649666514908423
LPC 18:0_0:0,-0.19829086401948057
LPC 18:1_0:0,0.12033469234626626
LPC 18:1_0:0,-0.3321409307315687
LPC 20:4_0:0,0.6188871837183427
LPC 20:4_0:0,0.3217678540046685
PC 14:0_14:0,-0.2731356487948065
PC 15:0_14:0,-0.5443976993159998
PC 16:0_14:0,-0.5970217348042394
PC 16:1_14:0,-0.5051204368496305
PC 16:1_14:0,-0.3210411780739696
PC 16:1_14:0,-0.5540784699885111
PC 20:4_14:0,-0.3172924256200653
PC 22:6_14:0,-0.571114432290769
PC 16:0_14:1,-0.1427391248808078
PC 16:0_15:0,-0.06008947927003207
PC 16:0_15:0,-0.8030488001685845
PC 16:1_15:0,-0.7256423803709953
PC 16:1_15:0,-0.6282409869646803
PC 20:4_15:0,-0.6432733893667384
PC 22:6_15:0,-0.8307116261656985
PC 16:0_16:0,-0.5277419874144261
PC 16:0_16:0,-0.8377558374766846
PC 16:1_16:0,-0.8128135233366286
PC 18:1_14:0,-0.8128135233366286
PC 16:1_16:0,-0.7003726450237624
PC 16:1_16:0,-1.1380092632192969
PC 17:0_16:0,-0.8938359611810329
PC 17:1_16:0,-0.7721513304993142
PC 18:1_15:0,-0.7721513304993142
PC 18:0_16:0,-0.9651094921390675
PC 18:1_16:0,-0.7559372635083741
PC 18:2_16:0,-0.46910604119389343
PC 18:2_16:0,-1.0184960829826764
PC 18:3_16:0,-0.48666457502942695
PC 18:2_16:1,-0.48666457502942695
PC 18:3_16:0,-0.9883594071194779
PC 20:3_16:0,-0.592578471389973
PC 20:3_16:0,-0.7376202743486875
PC 20:4_16:0,-0.6405819800854042
PC 20:5_16:0,-0.40761146237384005
PC 22:1_16:0,-0.599475468260571
PC 20:1_18:0,-0.599475468260571
PC 22:4_16:0,-0.9448337656323401
PC 22:5_16:0,-0.738231978246493
PC 22:6_16:0,-1.046776412167209
PC 24:0_16:0,-0.2521728727456811
PC 24:1_16:0,-0.336516256998903
PC 24:4_16:0,-0.4707798456968113
PC 26:0_16:0,-0.6605539982807996
PC 26:1_16:0,-0.6894123403317494
PC 24:0_18:1,-0.6894123403317494
LPC 16:1_0:0,0.14351028853971431
LPC 16:1_0:0,-0.231540291376788
PC 16:1_16:1,-0.46170564308155204
PC 16:1_16:1,-0.37505328235046964
PC 18:2_14:0,-0.37505328235046964
PC 17:1_16:1,0.2166569883758028
PC 18:2_15:0,0.2166569883758028
PC 18:1_16:1,-0.14298034617624983
PC 18:2_16:1,-0.047735321559747156
PC 20:4_16:1,-0.7648698075735214
PC 22:4_16:1,-0.3110918946955928
PC 22:6_16:1,-0.7275370091696758
PC 22:6_16:1,-1.0755105172252748
PC 16:2_16:0,-0.869900912299368
LPC 17:0_0:0,0.06292601154480577
LPC 17:0_0:0,-0.3010310878258877
PC 18:1_17:0,-0.4273852806567586
PC 20:4_17:0,-0.8608222500682288
PC 22:6_17:0,-0.9368009798806354
LPC 17:1_0:0,-0.245410848941083
PC 18:1_17:1,-0.42427283700949486
PC 20:4_17:1,-0.4344958208303945
PC 18:1_18:0,-0.91885953893588
PC 18:2_18:0,0.05570764502671039
PC 20:3_18:0,-0.37400392873239374
PC 20:3_18:0,-0.49820767845502034
PC 20:4_18:0,-0.6964886839990507
PC 22:4_18:0,-0.8991306478362961
PC 22:5_18:0,-0.6935206115025329
PC 22:6_18:0,-0.9777126834873715
PC 18:1_18:1,0.085529608672226
PC 18:2_18:1,0.05684172609503399
PC 19:1_18:1,-0.20305637812087474
PC 20:3_18:1,-0.3468989283267766
PC 20:4_18:1,-0.5216491035663299
PC 22:5_18:1,-0.5625695999845817
PC 22:6_18:1,-0.6405523307553322
PC 24:0_18:1,-0.6894123403317494
PC 26:1_16:0,-0.6894123403317494
PC 24:1_18:1,-0.6397223056546877
PC 26:1_16:1,-0.6397223056546877
PC 26:0_18:1,-0.7364401526778499
PC 26:1_18:1,-0.8016803256205768
PC 28:0_18:1,-0.6343097895608883
PC 28:1_18:1,-0.8803099344075954
PC 30:1_18:1,-0.8500813927576303
PC 30:2_18:1,-1.0551459138242099
PC 36:6_18:1,-1.3487433644568503
LPC 18:2_0:0,0.9524209913603137
LPC 18:2_0:0,0.2610233284263491
PC 18:2_18:2,0.05275766039061226
PC 20:3_16:1,0.05275766039061226
PC 20:4_18:2,-0.386133999625581
LPC 19:0_0:0,-0.12424607992504386
LPC 19:1_0:0,-0.4035042713899297
PC 20:4_19:1,-0.4664827627621042
LPC 20:0_0:0,0.04001383854781488
LPC 20:1_0:0,0.6370663503398795
LPC 20:1_0:0,0.17482665959086036
LPC 20:2_0:0,0.2813335588865703
PC 20:4_20:2,-0.10324350368908639
LPC 20:3_0:0,0.7349302192795282
LPC 20:3_0:0,-0.05737796116095702
PC 20:4_20:3,-0.8628821447944303
PC 22:6_20:3,-1.0911065549254306
PC 26:1_20:3,-0.8680370485325206
PC 20:4_20:4,-0.900775361493301
PC 22:6_18:2,-0.900775361493301
PC 22:4_20:4,-0.28024576547401175
PC 22:6_20:4,-1.1583409630999437
PC 24:1_20:4,-0.5453207677730609
PC 26:1_20:4,-0.8963155369540603
