feature,delta_z
2-hydroxybutyric acid,0.11070392571168865
2-hydroxyglutaric acid,-0.47628946728507104
3-hydroxybutyric acid,0.02558450829233324
3-phosphoglycerate,-0.018553411902380974
adenine,-0.09258551863792588
aminomalonic acid (spectralmatch),0.21230513533238377
campesterol,-0.05743603332794671
capricacid,0.1161766450060168
cholesterol (spectral match),-0.17110513638101232
citricacid,0.6187061901853681
creatinine,-1.3447864123399893
D (+) galactose,0.10819424191082552
D-fructose-6-phosphate,-0.24188693005948314
D-gluconic acid,0.3395578083296075
D-glucose,0.25404524393522965
D-glucose-6-phosphate,-0.24406958187428282
DL-2-Aminoadipic acid (spectral match),0.5061666624996095
DL-3-aminoisobutyric acid  (spectral match),-0.48564358968329185
DL-isoleucine,-0.46249025833426105
D-malic acid,-0.14673614415933633
D-mannitol,0.24714910548099156
D-mannose,0.4620525342136859
docosahexaenoic acid,-0.6897938482964705
D-ribose-5-phosphate,0.2564550507359576
D-ribulose-5-phosphate,0.13377376340450756
D-sorbitol,0.25191940153387626
fructose,-0.149284198378375
fumaric acid,-0.35431954119605924
galactitol,0.02044307827586196
glyceric acid,0.0706069149864956
glycerol 3-phosphate,-0.740020609473208
glycine,0.30145257544892345
glycolic acid,-0.2374932388844194
heptadecanoic acid,0.2629590732164304
homocysteine,-1.0139898985439533
hypotaurine,0.26786176306296344
L-2-aminoadipic acid,-0.5688761976770191
lactic acid,0.043422267640095
L-alanine,0.35240192082653354
L-aspartic acid,-0.4808843532777319
L-cysteine,0.845276136443136
L-glutamic acid,-0.6491161917211644
linoleic acid,0.10094461446864231
L-leucine,0.2638713050127002
L-lysine,0.7248437128271984
L-methionine,0.04106781855365209
L-mimosine,-0.6754028610333224
L-proline,-0.3321770461636988
L-pyroglutamic acid,-0.09597412678838102
L-serine,-0.40472131053807237
L-threonine,-0.12674612117366515
L-valine,-0.05012453528492038
maltose,0.07142578182633302
myo-inositol,-0.48564478064327465
myristic acid,-0.016794045945796678
N-formylglycine,0.5404372996001814
N-methylalanine,-0.24199989958637924
oleic acid,-0.1181327456993369
O-phosphocolamine,-0.11165936972756543
palatinitol  (spectral match),0.8644216916479648
palmitic acid,-0.008747202896246278
pantothenic acid,-0.2777711839143644
phenylalanine,0.08006817151308682
phosphoenolpyruvic acid,-0.025675439930958985
phosphoric acid (spectral match),0.1533987062727747
porphine,0.3722091548015897
propylene glycol,0.022074010573407805
putrescine,-0.06986937559816284
pyrophosphate,0.6916304087010303
pyruvic acid,-0.20193344598606638
scyllo-inositol,-0.03538409965915833
stearic acid,-0.02498615277085247
sucrose,0.22140850306169485
timonacic,-0.23369350247604298
uracil,1.408049586162866
Unknown 002,0.03255318952395775
Unknown 003,0.07608616057216902
Unknown 004,-0.33375434762974154
Unknown 005,0.2354588721698292
Unknown 006,-0.5116634408000078
Unknown 007,-0.18023598134696855
Unknown 008,1.3905770169589995
Unknown 010,-0.0016199301445512764
Unknown 011,0.014089047083724531
Unknown 012,-0.4510598913541706
Unknown 013,-0.39469028830231667
Unknown 014,-0.5471908500526389
Unknown 015,-0.7629358429443578
Unknown 016,0.25826430788738514
Unknown 017,-0.1274381877763741
Unknown 018,-0.14881684413631657
Unknown 019,-0.4268774609386695
Unknown 020,0.2733983465250762
Unknown 021,0.48046884113781096
Unknown 022,-0.5630047047014344
Unknown 023,-0.5017423393193043
Unknown 025,-0.11382615111226932
Unknown 026,0.7209003061067857
Unknown 027,-0.4336406439959072
Unknown 028,-0.25587159670816667
Unknown 029,0.4184809313204125
Unknown 030,-0.40675298910603774
Unknown 031,0.6864809902451352
Unknown 032,-0.0682593275949994
Unknown 033,-0.026820010893199263
Unknown 034,0.2865383037247172
Unknown 035,0.30965484304537283
Unknown 036,-0.0037253767042806983
Unknown 037,-0.03353524245983548
Unknown 038,0.3067355853103447
Unknown 039,0.3073553314246491
Unknown 040,-0.3452851548441632
Unknown 041,-0.10686916076609576
Unknown 042,0.161558653756501
Unknown 043,0.32115980227460456
Unknown 044,0.31220209246204356
Unknown 045,-0.2855668328757385
Unknown 046,0.3239489509504109
Unknown 047,0.1413854352921764
Unknown 048,0.14262981997945728
Unknown 049,0.09315399300900648
Unknown 050,-0.32776330146956667
Unknown 051,-0.05453505430365525
