Metabolite,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-03968,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01368,C3N-01369,C3N-01370,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
2-hydroxybutyric acid,21.352,21.501,23.076,21.575,20.778,21.326,21.201,20.901,22.588,21.669,21.355,21.983,22.114,21.223,21.254,21.309,20.911,21.783,21.149,21.252,22.607,22.948,21.942,21.797,22.570,22.148,21.336,22.109,21.822,20.640,20.265,22.238,20.712,22.078,21.499,22.409,21.789,21.929,20.966,21.863,21.782,21.484,21.614,22.372,21.226,22.354,22.182,20.248,21.201,20.997,21.585,20.359,21.488,22.388,21.761,22.058,21.854,21.956,22.160,20.648,22.007,21.210,22.577,22.585,22.113,21.644,21.671,21.201,22.525,22.567,21.628,21.709,21.413,21.677,21.985,21.197,21.201,21.121,22.012,21.209,20.250,21.884,20.551,22.063,21.340,21.666,20.804
2-hydroxyglutaric acid,22.067,20.905,21.050,20.932,20.812,21.541,20.536,20.265,22.696,21.280,20.943,26.080,21.232,20.871,22.201,20.964,20.625,20.067,20.769,26.907,26.636,22.786,26.576,21.301,21.349,22.186,20.603,20.652,21.131,21.572,21.152,20.751,21.365,25.965,21.875,21.040,21.611,21.117,20.710,21.143,22.062,21.384,21.383,21.946,20.501,20.946,21.170,21.301,22.207,21.772,21.444,22.268,21.772,21.499,21.312,21.907,21.194,21.318,20.977,21.217,20.858,21.662,21.387,21.326,21.204,21.563,21.446,21.207,20.978,21.965,21.409,25.827,20.935,22.136,21.386,21.206,21.729,21.485,21.629,21.423,21.083,21.385,21.221,20.114,20.559,20.952,21.014
3-hydroxybutyric acid,22.042,21.558,23.770,21.828,23.079,21.291,21.820,21.749,21.914,21.309,22.086,21.748,21.390,21.103,23.850,20.296,21.668,21.606,21.794,22.017,23.064,22.058,19.556,21.210,22.291,20.954,23.296,23.302,22.554,22.768,21.665,21.464,20.895,21.269,23.153,21.916,20.942,22.292,21.430,22.060,22.465,23.019,21.583,21.410,21.398,22.300,22.316,21.998,21.163,21.997,21.874,20.254,20.415,21.550,21.860,21.754,20.836,21.318,21.912,20.477,21.480,23.811,21.343,23.095,22.203,23.094,21.186,22.043,21.173,21.570,21.966,21.109,22.427,23.146,22.990,21.722,20.971,23.512,21.851,20.834,23.411,20.666,20.978,21.696,21.773,23.147,21.985
3-phosphoglycerate,21.856,21.841,21.054,22.358,21.704,22.008,20.711,18.734,21.201,20.661,21.178,21.620,21.211,20.596,20.468,19.691,20.729,21.514,21.516,22.297,21.543,20.777,21.300,21.193,20.287,20.769,20.950,20.387,21.404,21.246,21.397,21.413,20.817,21.972,21.448,21.897,20.759,21.017,21.043,20.907,21.169,21.456,22.572,21.207,21.061,20.516,21.201,20.791,19.077,20.810,19.797,19.132,20.962,21.547,20.337,20.793,20.577,20.711,21.429,20.972,21.405,21.193,21.883,20.883,21.016,21.499,21.342,20.722,21.322,21.241,20.769,21.231,20.684,21.269,20.475,21.449,21.002,20.723,20.429,21.341,21.113,20.463,19.341,20.034,20.878,21.132,20.750
adenine,18.907,17.162,NA,18.211,NA,NA,NA,NA,NA,NA,NA,17.901,NA,NA,NA,NA,19.634,NA,NA,NA,NA,NA,NA,NA,NA,18.881,NA,17.288,17.353,NA,17.874,NA,16.778,NA,NA,NA,20.104,19.164,16.525,20.640,NA,NA,NA,NA,NA,18.200,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.299,NA,17.698,NA,19.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.711,NA,NA,NA,19.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aminomalonic acid (spectralmatch),22.512,21.971,20.806,23.176,22.220,23.112,22.620,22.777,23.610,22.223,21.212,22.051,21.956,21.987,22.419,21.372,23.495,21.369,22.339,21.193,22.418,20.704,17.814,21.523,20.322,20.439,21.603,22.033,22.877,22.105,23.326,21.789,22.483,21.124,23.123,22.010,23.487,22.450,22.147,22.662,21.135,18.061,22.376,22.406,23.279,23.185,22.296,21.957,23.320,22.048,22.487,20.960,20.794,21.960,21.198,22.260,22.401,22.605,21.784,23.464,22.768,22.671,22.356,21.138,22.076,22.173,20.120,22.386,22.903,21.973,23.013,23.107,21.339,22.669,22.132,21.658,22.466,22.369,22.616,21.311,21.767,20.911,21.563,21.492,20.074,22.266,22.209
campesterol,15.391,19.808,19.627,18.499,18.682,15.362,17.642,19.466,NA,16.711,16.722,17.700,NA,14.532,17.616,19.795,18.321,18.725,17.604,16.146,17.769,18.829,NA,19.102,14.968,17.299,18.199,19.728,18.540,17.894,18.600,19.718,20.188,17.955,20.173,20.498,19.456,19.312,18.918,18.740,21.801,19.527,19.228,19.771,18.397,18.559,19.067,18.290,20.413,18.225,18.867,NA,15.829,19.869,19.244,19.167,21.209,16.889,18.880,18.798,18.505,20.516,NA,18.684,18.743,18.142,18.773,19.766,20.879,19.281,20.065,18.962,20.987,20.851,18.741,17.994,17.823,17.993,20.707,18.562,17.088,18.256,16.193,18.555,17.886,17.442,18.473
capricacid,17.110,NA,18.111,21.997,19.448,19.752,19.494,19.568,21.538,18.283,18.058,17.914,16.364,17.968,17.503,16.524,20.203,17.573,18.393,18.202,17.822,20.955,18.125,16.925,15.604,22.198,18.116,16.937,17.995,NA,20.106,18.361,17.755,18.715,18.031,19.548,18.213,18.449,20.938,18.129,13.413,19.977,18.910,19.237,17.707,16.379,17.577,17.964,18.579,16.903,17.709,17.241,16.311,18.571,18.679,19.854,17.351,18.860,20.636,21.814,20.827,17.676,18.691,20.436,19.048,21.264,21.217,18.642,16.853,21.296,17.263,17.040,17.950,22.367,21.472,20.978,19.682,19.773,22.298,20.817,22.807,17.502,21.211,18.568,18.241,17.913,19.271
cholesterol (spectral match),25.022,26.163,25.408,25.457,26.284,25.629,25.554,25.265,26.229,26.812,26.145,24.671,24.986,24.885,25.572,25.109,24.938,25.744,25.573,25.446,24.996,26.537,26.505,25.771,25.182,23.336,25.376,25.460,25.013,26.095,25.158,25.725,25.389,25.637,25.399,26.010,25.037,24.897,25.363,24.910,27.329,26.229,26.064,25.854,25.075,25.398,25.286,25.163,26.864,25.103,25.953,26.129,25.985,25.762,26.018,25.962,25.971,25.607,25.853,24.993,25.777,25.616,25.775,25.652,25.661,25.441,25.250,24.956,25.554,25.757,25.858,25.232,24.446,27.397,25.676,24.854,25.062,26.546,26.011,26.186,26.234,26.016,26.144,26.283,25.893,26.277,26.594
citricacid,21.563,21.053,20.074,21.165,19.190,19.652,21.520,20.636,21.260,20.735,21.050,21.902,21.174,21.471,22.187,21.201,21.444,21.335,21.819,21.082,21.363,21.874,21.971,20.668,22.418,21.059,21.285,21.751,21.824,21.952,21.733,21.338,21.977,22.169,21.477,22.266,21.708,20.943,21.174,20.819,21.695,21.051,21.326,21.990,21.651,21.568,21.140,21.360,22.267,21.404,21.287,20.789,20.513,21.479,21.915,22.034,21.878,21.313,21.745,21.724,21.778,21.379,21.721,21.510,21.042,21.641,21.554,21.345,21.448,21.685,21.201,21.605,21.327,22.017,20.103,21.531,21.189,21.112,21.169,21.194,20.465,18.536,19.917,19.174,18.064,19.509,19.293
creatinine,20.382,20.836,21.859,20.455,20.842,21.893,21.025,22.430,22.271,23.223,22.191,21.031,21.571,19.767,22.453,21.952,20.511,20.788,22.046,20.264,21.909,20.716,22.630,21.109,19.568,20.165,21.268,20.704,20.979,20.101,21.502,19.315,22.017,21.139,19.499,19.143,18.822,21.656,21.493,20.778,18.974,22.873,18.799,20.984,20.470,20.361,21.870,21.368,21.202,21.557,22.858,21.329,22.360,21.388,20.334,19.595,21.370,22.283,21.639,21.080,20.975,21.880,23.342,20.226,21.927,20.725,20.664,21.844,21.894,20.349,22.111,21.368,21.971,21.673,21.025,20.585,20.931,20.996,23.053,22.516,22.944,22.801,22.806,22.964,22.805,22.759,23.473
D (+) galactose,22.399,23.055,19.107,18.590,17.377,17.990,20.424,16.601,18.983,21.248,19.535,21.017,20.922,21.159,17.521,18.259,22.714,23.261,21.240,22.316,20.095,19.163,21.383,21.314,23.503,22.232,26.155,20.182,21.285,21.268,19.263,18.855,16.993,20.930,21.743,18.541,18.960,21.604,20.304,22.361,19.882,20.215,22.301,21.201,19.321,19.939,18.337,19.298,19.855,16.360,17.954,18.407,20.179,20.708,19.708,18.855,16.937,16.845,20.091,19.914,18.361,22.067,19.927,19.996,25.488,21.527,21.555,18.842,21.098,18.518,21.297,22.316,18.360,18.277,25.274,20.252,18.543,18.341,17.747,18.463,21.259,19.847,19.094,18.762,19.324,17.980,19.219
