feature,delta_z
A1BG,0.5325466335533942
A2M,0.25171273558748836
AAAS,0.7093946670344964
AACS,0.14373033626312898
AADAT,-0.10896245175111888
AAED1,0.7351200210386711
AAGAB,0.7513212897438526
AAK1,-1.3090879120333394
AAMDC,0.33039329037688203
AAMP,-0.10264205274123535
AAR2,0.8249732068766917
AARS,-0.1481977554442982
AARS2,0.1762235065599815
AARSD1,-0.6031900057348977
AASDHPPT,-0.7632989367237899
AASS,-0.14242760664162962
AATF,0.6638285070108574
AATK,-1.3466838711527944
ABAT,-1.1192798260675252
ABCA1,0.8465984839991003
ABCA2,-0.8499670996610592
ABCA3,-0.5521181499484153
ABCA5,-0.5536025430881862
ABCA8,0.15584496811074838
ABCB1,-0.8035968637551305
ABCB10,-0.30167191355828793
ABCB6,0.35896666376124853
ABCB7,-0.5300678078277744
ABCB8,-0.5324300379867997
ABCB9,-0.6642107965033637
ABCC1,0.8145688708948314
ABCC3,1.303683126393436
ABCC4,0.24827022070870472
ABCD1,0.9907361624799154
ABCD2,-0.27644547187705454
ABCD3,0.045671708331301436
ABCD4,0.3635333072493564
ABCE1,0.6543920142914736
ABCF1,0.5813361864565438
ABCF2,1.0032360647027543
ABCF3,0.9443106463796858
ABCG1,-0.2238218983727917
ABCG2,-0.2875520662804385
ABHD10,-1.168256289090301
ABHD11,0.6284772634969886
ABHD12,-0.2884745782783408
ABHD13,-0.07833757572321828
ABHD14A-ACY1,0.6842112752664591
ABHD14B,0.6073637834261354
ABHD16A,-0.5084950453389938
ABHD17A,-0.34504209865419866
ABHD17B,-1.335242082066783
ABHD17C,-0.17311985151737824
ABHD2,-0.029739582080504146
ABHD3,0.05073586737298122
ABHD4,0.09086941479721901
ABHD5,-0.03541135557177026
ABHD6,-0.7688727803843138
ABI1,-0.8526718795392392
ABI2,-0.9274372553796628
ABI3,0.8274054233601448
ABI3BP,0.41681443187599787
ABL1,0.7083203564858691
ABL2,-1.4510465351233874
