feature,delta_z
DDX11L1,0.5422941609142331
RP11-34P13.7,-0.26418114485041294
RP5-902P8.10,-0.44829479928425203
SUGT1P2,0.15995156873517438
AC139452.2,-0.30268301639731016
TRIM71,-0.6404368840717031
CCR4,0.8376626055340424
GLB1,1.348404713725464
TMPPE,0.6350012092799502
Metazoa_SRP,0.019608813639301635
CRTAP,0.8822321131895777
RP11-627J17.1,0.18819746264488743
SUSD5,-0.5375333621159613
AC123900.2,0.08476250458301426
FBXL2,0.24230002447633694
UBP1,0.3827224495091187
RNU7-110P,-0.5506799340586825
RNA5SP128,-0.31834603833364955
CLASP2,-1.3465097372172163
AC112220.2,0.6234684312871018
MATN1,-0.524560194111382
RP11-10C24.2,0.4946232263658612
RP11-10C24.3,0.9797803086452326
RP11-10C24.1,0.6821323446099605
PDCD6IP,0.6665211381900142
AC018359.1,-0.5687974431051013
AC123023.1,-0.5580189037754402
KRT8P18,0.05383402314542345
MATN1-AS1,0.3678419562429801
ARPP21,-1.1237139039199036
MIR128-2,-0.5902050062370225
RFC3P1,-0.27544939138040786
STAC,0.6179913526327322
NBPF21P,-0.038998403632774556
RN7SKP227,0.019869952631204883
DCLK3,0.11447034061006595
LAPTM5,1.0349182519234796
HSPD1P6,0.5518258130621134
RP11-640L9.1,0.2446087347626814
RP11-640L9.2,0.23861365161078468
TRANK1,0.5736606313728413
AC011816.1,0.4361010788852113
RNU6ATAC4P,-0.2289651564367483
RP11-129K12.1,-0.013707708686191741
PRADC1P1,-0.17515201957574378
EPM2AIP1,-0.3663090562332007
MLH1,0.28260214622062985
MIR4420,0.7353795170238273
RPL29P11,0.4907125839062277
LRRFIP2,0.014050377626850928
Y_RNA,0.004575773635974033
UBE2D3P2,0.5992062977072553
UBE2FP1,0.7160892632133081
RP11-285J16.1,-0.6488584048241117
AC097359.2,-0.3196132938490409
RP11-259K5.1,-0.40906527481496435
RP11-259K5.2,0.8583777250329215
GOLGA4,0.40102203278554793
TCEA1P2,0.7326695098819984
RNA5SP129,0.174023728735282
C3orf35,0.07573508912038732
ITGA9,0.5948631559372237
ITGA9-AS1,-0.4977654958517471
RPL21P135,-0.0962539756536537
NDUFAF4P3,-0.4690981779019868
CTDSPL,0.2646980371429939
RP5-1125N11.1,-0.22961580211310412
MIR26A1,0.0886478211808338
VILL,0.32466583081360395
PLCD1,0.13701286496515047
Y_RNA,-0.30342243012890424
DLEC1,-0.06258256030423338
PPP2R2DP1,-0.23659666970489968
ACAA1,0.0349991063475964
MYD88,0.8847712222730295
OXSR1,0.8533059687468001
RP1-65J11.1,-0.4532510354140491
SLC22A13,-0.27987071149570203
SLC22A14,-0.25667230056515755
XYLB,0.3709471573368336
ACVR2B-AS1,-0.6322389370049257
ACVR2B,-0.9793722695283429
EXOG,-0.11601547982540236
RN7SKP91,0.023828110703381984
SCN5A,-0.5764109431814178
SCN10A,0.11891740544460609
SCN11A,-0.4283728027014416
WDR48,-0.4007111367405192
GORASP1,-0.4136813018636413
SCNN1D,-0.5744182742919468
TTC21A,-0.0024229280248177338
MIR6822,0.5195662181535639
CSRNP1,0.3590990823605869
Metazoa_SRP,0.8890310109291388
XIRP1,0.34601007267358175
CX3CR1,-0.4012686371327323
RP11-331G2.6,0.5120685986269734
CCR8,0.7003424024672279
HNRNPA1P21,0.5272538618114988
SDC3,-0.6805743703038738
RP11-241K18.2,0.17040440218153524
EEF1A1P24,0.28754824174814425
SLC25A38,0.12376186562470701
RPSA,0.4356915554201193
AC099332.1,-0.28277964881705914
MOBP,-1.0547051586131335
MYRIP,-0.666778390147591
RN7SL371P,-1.1770561535982105
RNU4-56P,-0.30030790734272683
EIF1B-AS1,-0.2997257809381092
RN7SL411P,-0.06374408014151833
SNORA64,-0.5354680219918796
EIF1B,0.525070322710386
ENTPD3-AS1,-0.5515964396033417
PGAM1P3,-0.33001697934290997
ENTPD3,-0.858960012217052
RPL14,0.35239657930788226
ZNF619,-0.20926104373874335
PUM1,-0.4044397966250684
RNU5B-2P,0.6082446804482418
ZNF620,-0.880425901994103
ZNF621,0.3668140000093929
RP11-761N21.2,0.1875996141150981
RP11-761N21.1,0.6511881511640538
RP11-520A21.1,0.7309216892178438
RP11-372H2.1,-0.3620357731070408
CTNNB1,1.0346121809746283
ULK4,0.323584142567613
SCARNA21,0.318779533134962
RN7SKP58,0.276999619471251
ATP6V0E1P2,0.18821591200752616
Y_RNA,-0.04609561592692626
U8,-0.05704555018362086
TRAK1,-0.42866734482527225
RNU4-78P,-0.44531153415228064
CCK,-1.5103050696776155
RP11-333B11.1,-1.1043182091898789
SALL4P6,-0.2718401120761483
LYZL4,-0.3639045093228303
VIPR1,-1.323237085356014
VIPR1-AS1,-0.019418264027618155
SEC22C,-0.016909307552709668
SS18L2,-0.010251152433303302
NKTR,-0.5585794732529945
RP4-613B23.1,-0.9719225676800558
ZBTB47,-1.0968903721834489
RN7SL567P,-0.8287609653859975
KLHL40,-0.7658265319487492
CCDC13,-0.45215883669639956
HHATL,-1.1609476095118425
HHATL-AS1,-0.20056699112379472
CCDC13-AS1,-1.3004771818676946
RP4-613B23.5,0.026363607103814857
RP11-70C1.1,0.7432593845653528
HIGD1A,0.20317929824491632
RP11-70C1.3,0.2284498660194776
NKAIN1,-1.1692738360525963
ACKR2,0.04887207146503189
RP11-141M3.6,0.04639249345197137
RP11-136C24.3,-0.47884482745867346
KRBOX1,-0.18056301784797302
CYP8B1,0.10863342064536124
HNRNPA1P22,-0.15552936271388534
ZNF662,-0.6332992069937883
KRBOX1-AS1,-0.3776814233419842
FAM198A,-0.31719166625049006
SNRNP40,0.10442071850405688
RP11-136C24.1,-0.2153710887095628
POMGNT2,-0.4532438226518382
RP11-136C24.2,-0.4646558068860859
SNRK,-0.4904788840513693
RN7SL517P,-0.36620810124649
RP11-188P20.3,-0.3264701810633741
SNRK-AS1,-0.3653447045498534
ANO10,0.49816808832841664
ACAP3,-1.135516851623542
RP11-490K7.4,-0.22937882018127387
RP11-353H3.1,0.15519119266547138
ABHD5,0.8016947847789685
RP4-555D20.3,-0.22388751787237837
RP4-555D20.4,-0.0716201282997126
RNU6-367P,0.26463578921352837
MIR138-1,-0.10325368149829395
RP4-555D20.1,0.2827736357436841
RP4-555D20.2,-0.27850983159019393
TOPAZ1,-0.11316649545337182
ZCCHC17,-0.3029665550243205
RP11-424N24.2,-0.10833480725472037
TCAIM,-0.16746051946692725
LINC00694,0.31722579727950406
ZNF445,-0.8997546214209077
ZNF852,-0.23406973562012717
EI24P3,-0.10490965785435875
RP11-944L7.6,-0.2627504097943833
ZKSCAN7,-0.36470349304307426
RP11-944L7.4,-0.6163395879038811
RP11-944L7.5,-0.5486017591733234
RP11-266K22.2,-0.2656658957241099
ZNF660,-0.4900990443472659
MPRIPP1,-0.19635000384470824
ZNF197,-0.4232931220915574
ZNF197-AS1,-0.3073757421225555
ZNF35,-0.4096078242835175
RP11-348P10.2,-0.6595191682581554
SOCS5P3,0.7597326042071681
ZNF502,0.057781103676686846
ZNF501,-0.6354405688039405
FABP3,-0.5294817790803279
KIAA1143,-0.43691307725553924
KIF15,-0.32807876679697234
TMEM42,-0.1629311059038278
TGM4,0.6697072851761989
ZDHHC3,0.14869836146883417
EXOSC7,0.14384322198873467
SERINC2,0.7452810154018021
CLEC3B,-0.10420931554862865
CDCP1,1.146137891168019
RPS24P8,0.3520036997329675
TMEM158,0.8955518842190276
LARS2,0.017668607420486548
LARS2-AS1,-0.11609727893063537
LIMD1,0.28260110699761826
AC099539.1,-0.25784321524438303
LIMD1-AS1,-0.42875897585072464
SACM1L,0.2736140555685813
RN7SL145P,-0.21216065206895274
RP11-697K23.3,0.25323999596728564
SLC6A20,-0.3381862072375672
LZTFL1,0.28168138062997794
RP11-852E15.1,-0.06961859674397977
CCR9,0.04790258377591954
FYCO1,0.8793330093943794
RP11-439L8.2,0.28135125810900796
CXCR6,0.62723396942698
XCR1,0.3573720808529936
NRBF2P2,-0.8335000574545559
FLT1P1,0.41881183035934794
CCR3,0.7147032429593451
CCR1,1.0443360880271093
UQCRC2P1,0.6565626065296037
CCR2,1.089073600152659
RP11-24F11.2,0.6372275673345833
CCR5,0.9557924978286279
RNU6-40P,0.3445039669888126
CCRL2,0.8317253070287608
LTF,0.5677729962397526
RTP3,0.04072709122006768
LRRC2,0.12929241914569012
AC104304.1,0.22289155661231153
LRRC2-AS1,0.3800186918734202
TDGF1,-0.559090093984441
ALS2CL,0.2058978520153076
TMIE,-0.034143860576343776
LINC01225,0.26439732672928973
PRSS50,0.013879566988040704
PRSS46,0.08716312151743659
PRSS45,0.3290476109617333
PRSS44,0.20100242624053388
PRSS42,0.05469741720076938
MYL3,-0.34953592379971077
PTH1R,-0.21263144336952688
RP11-427P5.3,-0.3862725977832512
CCDC12,-0.28316140039572624
NBEAL2,0.8608844156874982
NRADDP,0.07642284113321042
SETD2,-0.2589163560291491
KIF9-AS1,-0.5740597731403265
KIF9,0.3098481758023093
snoU13,0.22312481487612967
KLHL18,0.13159203866303398
RP11-447D11.3,-0.6185943097093275
RP11-708J19.1,-0.34867994591057083
LINC01226,0.769824572874913
PTPN23,0.10083980975465384
SCAP,-0.16477935980189018
ELP6,-0.23568668523030673
BOLA2P2,-0.5382214196196369
AC099778.1,-0.08457730469189248
RN7SL870P,-0.49815262291910184
CSPG5,-1.156548126555169
SMARCC1,-0.4935073931380413
RP11-717D12.1,-0.5308960530618727
DHX30,-0.3414545305924819
uc_338,-0.6345919332733321
MAP4,0.014770097723863576
Y_RNA,0.4172195715713264
VPS26BP1,0.7304398463343863
RP11-73M7.1,0.4461199370910356
RN7SL664P,0.45961439468445553
RP11-1029M24.1,0.19200314848930788
CDC25A,-0.1853102319365536
NDUFB1P1,-0.03740612342099782
CAMP,0.8794168856037157
TINAGL1,0.254744954660131
ZNF589,-0.7905393935193579
MRPS18AP1,0.3371879329656274
Y_RNA,-0.7138133774694553
FCF1P2,-0.0025797824230998382
NME6,0.22022911391421068
SPINK8,-0.28094425269203027
MIR2115,0.2589214307022988
FBXW12,-1.2742414186276187
Metazoa_SRP,-0.21753002386270687
PLXNB1,-0.9685009864957961
HCRTR1,-0.2955914490558209
CCDC51,0.36582962090440324
TMA7,0.35716086783432754
RP11-24C3.2,-0.06144899202627616
TREX1,-0.4393716648843635
ATRIP,-0.1317575734315038
SHISA5,0.9524456532987304
AC134772.1,0.41733739114362695
PFKFB4,0.7685727222214743
MIR6823,-0.09992727241841372
PEF1,0.06665158763981428
UCN2,0.6009312974668504
COL7A1,0.825633833792312
MIR711,0.3820112593996903
UQCRC1,0.14242027949771585
TMEM89,0.2283808251362709
SLC26A6,0.7468639227741893
CELSR3,-0.9765217726936366
MIR4793,0.09537242829421558
CELSR3-AS1,-0.2531345252102223
RP11-73M7.6,-0.32832213795099835
RP11-572O6.1,-0.8707024737957323
NCKIPSD,-0.24058873657791374
IP6K2,-0.07609565048355546
PRKAR2A,0.5308018450809798
PRKAR2A-AS1,-0.12884833169735282
SLC25A20,0.37746356032147754
ARIH2OS,-0.47926261671991727
ARIH2,0.03148990831656455
RP13-131K19.1,-0.7344024794147295
RP11-73M7.9,-0.325541872263254
RP13-131K19.2,-0.6926592505305234
RP13-131K19.7,-0.6891253108005246
P4HTM,-0.07399435592093784
WDR6,-0.6127408194975911
DALRD3,0.1453700301217285
MIR425,0.4962901544756214
NDUFAF3,0.2619862400025414
MIR191,0.4064231304577596
IMPDH2,0.22565987461559883
RP13-131K19.6,-0.3085728843121872
COL16A1,-0.06325685798172581
QRICH1,-0.2868531801980723
RN7SL182P,0.38453703479613527
QARS,0.6942723479891073
USP19,-0.2254113378424353
LAMB2,0.8199726818004307
RP11-694I15.7,-1.1497585138865594
CCDC71,-0.19324982127551382
KLHDC8B,0.10297084355557293
C3orf84,-0.018217870368542277
BAI2,-0.6797634869284923
CCDC36,0.5303146306113122
RP11-3B7.7,-0.008197544487582694
RP11-3B7.1,0.3840338678099492
C3orf62,-0.23033718008580084
Y_RNA,0.19564322541958745
