Name,Log2FC_PrimCom
Glucosamine 6-Phosphate,-0.43940136824429843
L-beta-aspartyl-L-glycine,0.5341927861326611
Guanine,-0.16917025791052248
3-hydroxyisovalerylcarnitine,-0.15150383536860015
Phenylethyl alcohol,0.3298355718094864
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.1067317836499368
Indirubin,-0.034489428530218656
Glutamic acid,0.03205721614175715
Thiamine,0.15489644360566662
Histamine,-0.08887826447199254
Prolinamide,0.005131337606932879
Citramalic acid,0.029293512792999975
Lysyl-Leucine,-0.44905941577166897
N-Acetyl-D-lactosamine,-0.32600496153988623
N-Methylglutamate,-0.433878999915963
Phenylacetaldehyde,-0.04702762658375087
2-Hexenoylcarnitine,-0.04063332058887667
N-Acetylserotonin,0.14561159229536552
Phenylalanylalanine,-0.10807995273175758
2-methylcitric acid,0.04838338168193062
Tributyl phosphate,0.22641609913104316
1-Naphthylamine,-0.4933160181565345
7-Methylguanine,0.02348335226651067
Decenoylcarnitine,0.3404303134782246
Adenosine triphosphate (ATP),0.36153211445189953
Triisopropanolamine,0.10581878300911664
4-Hydroxybenzaldehyde,-0.10276655999094816
Methylthioadenosine,0.1931840605481392
"4-Hydroxy-1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidine",0.2610979289158314
Uracil,0.010707100261445557
Adenosine,0.022505393073490827
Hydroxyoctadecenoylcarnitine,0.12427867890290023
Sarcosine,0.17861097311810303
Diphenylphosphinic acid,-0.16114940015503687
2-Amino-4-methylpyrimidine,0.015718665955400092
L-Phenylalanyl-L-proline,-0.29862234293089274
Citroflex A-4,-0.1673424940562725
3-Methylhistidine,-0.002517534724879082
N-Acetylputrescine,-0.18753237363242958
Amphetamine,0.014303947603593808
Cytidine 5'-diphosphocholine,0.13457218234873053
Phosphoric acid,-0.026821384089184275
Isoleucylprolyllysine (IPK or LPK),-0.3798505466294817
Decanoylcarnitine,-0.076330214264553
Hexanoylcarnitine,-0.1361412951325343
Kynurenine,0.046644829255267126
N1-Acetylspermine,0.0241840984442694
Homoserine lactone,0.41271130747052426
gamma-Glutamylalanine,0.05238601910437705
L-beta-aspartyl-L-leucine,-0.17304337302898262
gamma-Glutamylmethionine,-0.17719486465589893
Lysyl-Valine,0.17800583994276015
Adenylosuccinic acid,-0.3384144839352671
Histidylserine,-0.10247425444516256
Glycyl-leucine,-0.21030826857250778
Caprolactam,0.09652449318428705
Ala-Asp,0.0021996642026618006
4-Guanidinobutyric acid,0.06184132785361872
Tyrosine,-0.04444736074348658
5-Aminovaleric acid betaine,-0.11296806072030896
Carbaryl,0.11522752188510467
Dipropyleneglycol dibenzoate,0.08773785716994127
Guanidinoethyl sulfonate,-0.24721782925507155
Ethionamide,-0.2108778105864898
CDP-Ethanolamine,0.11296693727966546
Adenosine diphosphate (ADP),0.3281299014076914
Gamma-glutamylleucine,-0.3984073177434784
Triethylphosphate,-0.0915422352635322
Piperidine,0.005488129764953624
"N,N,N-Trimethyllysine",0.007173692434922503
Diethanolamine,0.18322856711508415
Cytidine monophosphate (CMP),-0.08200137875280508
Tetradecanoylcarnitine,-0.16512867165395342
4-ureidobutanoic acid,0.19136010362524594
Hydroxytetradecadienoylcarnitine,0.2660128148664066
Leucyl-Valine,-0.2234304514328308
Phosphorylcholine,0.1293826437745146
Phenylethylamine,0.12390718250238057
Quinoline,0.054334167790426366
Citric acid,-0.2666895156296532
trans-4-Hydroxy-L-proline,0.12492234037705718
Indoleacrylic acid,-0.06619100733401133
"1,6-Anhydroglucose",-0.2628180766726962
(S)-1-carbamoylpyrrolidine-2-carboxylic acid,0.2203458906484212
O-palmitoleoylcarnitine,0.15458929441030617
N-Acetylglutamine,-0.21697155290435358
1-Acetylimidazole,0.007278610561356273
Indoline,-0.0011066558986142889
Triethanolamine,0.09404865977085348
Taurine,-0.014517609907204444
1-Methylxanthine,0.06168418472598484
Tetradecenoyl-L-carnitine,-0.039003313767238174
Diaminopimelic acid,-0.25961015996631154
Propanoylcarnitine,0.052705121088266534
Deoxycytidine,-0.14869149318563224
S-Methyl-L-cysteine-S-oxide,0.022706913646130557
Hydroxyhexanoycarnitine,-0.18498355152960747
Dipropylene glycol dimethyl ether,0.46995517200401343
Adenosine monophosphate (AMP),0.05009485017952178
Homoproline,0.4260328672127002
β-Nicotinamide mononucleotide,-0.23974587901199232
Adenine,0.15119301928199583
1-Methyladenosine,-0.5663484413871344
Ethanolamine phosphate,0.04567334012811081
Octenoyl-L-carnitine,-0.09258366511833535
N-Methylproline,0.26218729787158546
Adenosine Triphosphate (ATP),0.33396299283386777
Tyrosine methyl ester,0.039841103283206156
Alanyl-Alanine,-0.23417685552258266
Threonine,0.0586282021011245
Asymmetric dimethylarginine,0.1001172703961565
Leucyl-Leucine,-0.2721671549323128
Benzaldehyde,0.07156356573942628
Oleoylcarnitine,0.14498085573288713
Similarity to Pipecolate,0.0016304822289397944
Didecyldimethylammonium,0.2591976985927801
Cytosine,0.13139814451262957
Nicotinamide adenine dinucleotide phosphate (NADP+),0.16721573854459756
Gabapentin,-0.20377647628912732
Nonyltrimethylammonium,0.021011460120452453
Valyl-Aspartate,0.10737223044104788
O-Succinyl-Homoserine,0.18240620139756805
Amino-Sugars-C8,-0.06364852047501368
Phloroglucinol,-0.5006248383558768
Trigonelline,-0.2890625940980326
N-Acetylmethionine,-0.0020261161493300025
Pipecolic acid,0.2070636380245465
Adenosine Diphosphate (ADP),0.21542341384035935
gamma-Glutamylglutamine,-0.6054083586610941
Ala-Ala-Ala,-0.21111974288332758
